"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"__alignment_not_unique",1125726.41337072,-0.901962292746357,0.44037271273595,-2.04817934140978,0.0405424298995072,0.606721329449623
"__ambiguous",911819.097655974,0.178078694487124,0.0688913040036171,2.58492268454918,0.0097400835918146,0.34063968021103
"__no_feature",2849131.76387021,0.097717531789355,0.1683230387588,0.5805356920236,0.561553424716057,0.995928936613516
"__not_aligned",638906.549611833,-0.0264745351203018,0.15091819382002,-0.175423084852675,0.860747202739455,0.99794439216585
"__too_low_aQual",1694300.00512302,-0.1678166042853,0.344363092316621,-0.487324594387725,0.626028321253024,0.99794439216585
"ENSG00000000003.15",466.08216946948,-0.586435218872991,0.246049209130495,-2.38340623383987,0.0171532537056688,0.424544269145175
"ENSG00000000419.13",491.374708568032,-0.0528402423271684,0.222322676897713,-0.237673651039563,0.812134221548153,0.99794439216585
"ENSG00000000457.14",503.822520152225,0.152620748995131,0.212507201879118,0.718190949038741,0.472639557898574,0.986148067662
"ENSG00000000460.17",60.9826069383528,-0.313947075374798,0.405620563206124,-0.77399201089137,0.438935515715279,0.982075392943802
"ENSG00000000971.16",13488.7030286238,1.40684548473627,0.563055965474819,2.49858907639828,0.0124688801576912,0.379608760860357
"ENSG00000001036.14",1251.55593582404,-0.187883518440017,0.272099559133952,-0.690495490099357,0.489882645074748,0.988118030649974
"ENSG00000001084.13",864.443863071313,-0.111310003764224,0.423752237322292,-0.262677088072967,0.792799477869963,0.99794439216585
"ENSG00000001167.14",488.324553503446,-0.116591788720635,0.270653891974415,-0.430778171598052,0.66662967275647,0.99794439216585
"ENSG00000001460.18",178.551495719919,0.348788337914051,0.366673146590651,0.951224111056691,0.341490621291403,0.962347895299658
"ENSG00000001461.17",1906.88880643119,0.0012986187612225,0.462747401010284,0.00280632318709369,0.997760880995407,0.999871936734324
"ENSG00000001497.17",521.047665293419,0.000949185979912181,0.182496357663031,0.00520112287207836,0.995850123071728,0.999871936734324
"ENSG00000001561.7",21.5862291544917,0.0724374138348213,1.90131742674448,0.038098537790637,0.969609117139372,0.99794439216585
"ENSG00000001617.12",1245.93549828973,-0.0492938156423412,0.737104816783676,-0.0668749064175602,0.946681290084154,0.99794439216585
"ENSG00000001629.10",2550.19040201336,0.0857171207474162,0.314606564530315,0.272458144271038,0.785269770299087,0.99794439216585
"ENSG00000001630.17",430.923835598834,0.116139414324102,0.766066952059674,0.151604783383288,0.879498660427199,0.99794439216585
"ENSG00000001631.16",271.463716787529,0.0941617208819453,0.190914388952161,0.493214374247823,0.621861122336184,0.99794439216585
"ENSG00000002016.18",199.773664248535,-0.324652008865185,0.213748330453052,-1.51885167092096,0.128799836311745,0.833920972249034
"ENSG00000002079.14",33.5509140122096,-1.85180899678526,1.84987756707897,-1.00104408515496,0.316805495555682,0.962347895299658
"ENSG00000002330.14",805.639057145464,-0.292772795000323,0.422563538067782,-0.692849166161044,0.488404213750351,0.988118030649974
"ENSG00000002549.12",18890.6566512705,0.0928163654905918,0.560485209180209,0.165600026495524,0.868471726439797,0.99794439216585
"ENSG00000002586.20_PAR_Y",2730.97915615557,-0.529322249978778,0.726512189230634,-0.728579998828819,0.466258616901463,0.984933279198183
"ENSG00000002745.13",8.32960867067378,4.50573535218705,1.98184723666378,2.27350285573572,0.0229958942295869,0.48825711037105
"ENSG00000002746.15",270.231187344385,-0.804859108639415,0.95636872748574,-0.841578238087481,0.400024074632913,0.975935356545789
"ENSG00000002822.15",11.670030698648,-0.687257915950485,0.682016063713021,-1.0076858193177,0.313605314835495,0.962347895299658
"ENSG00000002834.18",10779.7656362059,0.175015119358096,0.358324386157694,0.488426482034281,0.625247787980497,0.99794439216585
"ENSG00000002919.15",285.288626463968,0.308639964455998,0.405258461118482,0.761587959457219,0.446305963284224,0.982639131827625
"ENSG00000002933.9",83.7770536759072,1.42277114233782,3.40025663475222,0.418430517213446,NA,NA
"ENSG00000003056.8",1950.62510256055,0.24205893897354,0.211615261880837,1.14386333396807,0.252680319132225,0.933133504683533
"ENSG00000003096.14",116.202373839703,-0.146610140525218,1.41783434040024,-0.103404280985204,0.917642114627299,0.99794439216585
"ENSG00000003137.8",37.8383099103097,-0.691030168540614,1.17339546822243,-0.58891497986391,0.555918308391721,0.995928936613516
"ENSG00000003249.14",72.933881985702,-0.968945495463888,0.74028263567601,-1.30888588867017,0.190573007329385,0.897812550300547
"ENSG00000003393.15",861.597169885073,-0.155023720719024,0.139765794708102,-1.10916781207297,0.267357795483187,0.945623679266673
"ENSG00000003400.15",107.563666731933,0.036175104408544,0.948823201942887,0.0381262856288389,0.969586993641321,0.99794439216585
"ENSG00000003402.20",8616.02426228207,0.872461802957298,0.247195390118621,3.52944204395816,0.000416436905552885,0.0680126371379672
"ENSG00000003436.16",3585.46951489521,0.0983497320534075,0.457141477466748,0.215140688170352,0.829657631993052,0.99794439216585
"ENSG00000003509.16",273.641686574161,-0.0206696816572966,0.250947410924071,-0.0823665866134422,0.93435520575901,0.99794439216585
"ENSG00000003756.17",3045.77723819369,-0.0564730859931688,0.178884176731541,-0.315696374184734,0.752232979049662,0.99794439216585
"ENSG00000003987.14",31.4931079247279,-0.667090509624481,0.498216752718005,-1.33895639997088,0.180584867130706,0.888505011662104
"ENSG00000003989.18",4403.23001698136,-0.534915596044122,1.9483974807741,-0.274541309626205,0.783668662167033,0.99794439216585
"ENSG00000004059.11",1425.19382921433,-0.113867479080051,0.215757285077274,-0.527757285411099,0.597667807502614,0.99794439216585
"ENSG00000004139.14",308.523553099875,0.236874677337769,0.306964762190766,0.77166732639677,0.440311487228762,0.982075392943802
"ENSG00000004142.12",1291.94477574428,-0.207608406044451,0.208909817869946,-0.993770461155131,0.320334630052753,0.962347895299658
"ENSG00000004399.13",2811.14263937878,0.294339767485961,0.582603979878039,0.505214137994007,0.613408441347222,0.99794439216585
"ENSG00000004455.17",1622.2072030547,0.379325778269859,0.139422086700412,2.72070076733932,0.0065143700453119,0.281265590851554
"ENSG00000004468.13",2605.45108172912,-0.126594770786712,1.60760180925984,-0.078747591634646,0.937233390335496,0.99794439216585
"ENSG00000004478.8",862.830359714173,0.345416670849118,0.272491121833079,1.26762541298762,0.204931752182106,0.9040231603087
"ENSG00000004487.17",1425.9070611635,-0.32141226609633,0.167379928262902,-1.9202557285811,0.0548256054611345,0.661810501582542
"ENSG00000004534.15",2034.60394357613,0.18037820525757,0.275271173263325,0.655274590212975,0.512290977588092,0.988845038773744
"ENSG00000004660.15",115.568869679455,-0.355620252789418,0.561440688683304,-0.633406626839644,0.526468138606213,0.992012671006671
"ENSG00000004700.16",1073.90080427113,0.392171314645764,0.257986621321559,1.52012268169889,0.128480145010363,0.833189282715623
"ENSG00000004766.17",424.211235272404,-0.135631994147739,0.172623670858599,-0.785709129420836,0.43203791351046,0.981580850223284
"ENSG00000004776.13",1813.28216270261,0.480260075915934,1.71194226699666,0.280535205640128,0.779066919171169,0.99794439216585
"ENSG00000004777.18",162.448678807708,-0.164832552897866,0.475155920178306,-0.346902029203406,0.728664922124518,0.99794439216585
"ENSG00000004779.10",386.543221143428,-0.274320692099051,0.25148321586057,-1.09081113489158,0.275355995846984,0.948216696445848
"ENSG00000004799.8",2077.7435561531,1.21295795401075,1.51006689349093,0.803247829112167,0.421831505659962,0.97923347265592
"ENSG00000004838.14",5.85065963594089,-1.4582401203506,1.05832081163428,-1.37788098308183,0.168240037263384,NA
"ENSG00000004864.14",285.01585709808,-0.426501568667374,0.297652898582539,-1.43288229578287,0.151891477574893,0.86014184528687
"ENSG00000004866.21",515.560229351407,-0.745892498759989,0.284629290161225,-2.62057533972518,0.00877815316770374,0.3252557105443
"ENSG00000004897.12",1748.58508434817,0.100061601899625,0.213828116291213,0.467953436784479,0.639817888408449,0.99794439216585
"ENSG00000004961.15",701.322463307763,0.0843116630850428,0.215574248446602,0.391102665056614,0.695721350793564,0.99794439216585
"ENSG00000004975.12",1273.65201979421,-0.284087118221226,0.460356069827817,-0.617103014037547,0.537166780784367,0.994302331245007
"ENSG00000005007.13",2856.96247627922,0.0352811042097667,0.196099820320256,0.179914005796375,0.857220079585194,0.99794439216585
"ENSG00000005020.13",369.620711010033,0.280555941861191,0.541218200420014,0.518378616320487,0.604194131273943,0.99794439216585
"ENSG00000005022.6",1299.4241492069,-0.243070352520572,0.259508262757782,-0.93665746877373,0.348934780424461,0.962347895299658
"ENSG00000005059.16",382.175687039582,-0.141071370264746,0.557250229904734,-0.253156235195925,0.80014748437185,0.99794439216585
"ENSG00000005075.15",539.621878652032,0.209687869413144,0.209724351339944,0.999826048207718,0.317394697667181,0.962347895299658
"ENSG00000005100.13",523.344735927755,0.269460322908295,0.15307846623162,1.76027582155533,0.0783610516293127,0.744178234020505
"ENSG00000005102.14",47.3701313137176,-2.10114844531571,2.14548166712108,-0.979336471392523,0.327413755459211,0.962347895299658
"ENSG00000005108.16",5.8889655348491,-2.54034437433754,1.76061127960863,-1.44287634854994,0.14905530683833,0.85594714305295
"ENSG00000005156.12",349.656889220898,-0.461997390228073,0.21537360360306,-2.14509755373527,0.0319450479945798,0.548524327654605
"ENSG00000005175.10",452.571324917357,-0.0244482836994965,0.254561908691188,-0.0960406206301468,0.923488311057306,0.99794439216585
"ENSG00000005187.12",9.47247611652846,1.18436879849545,1.5383861307314,0.769877454584409,0.441372588769889,0.982075392943802
"ENSG00000005189.19",41.3485857669272,1.0759309867247,0.40220281397003,2.67509562179461,0.00747079385310909,0.303746540916521
"ENSG00000005194.15",424.619892177571,-0.0457220864875892,0.255567471025352,-0.178904170801352,0.858012947799022,0.99794439216585
"ENSG00000005206.17",969.545052899424,-0.266110335386809,0.329324813934449,-0.808048237263339,0.419062814011595,0.979041426049054
"ENSG00000005238.20",530.537506357255,0.116750870441546,0.316775593077683,0.368560182642971,0.712455578910391,0.99794439216585
"ENSG00000005243.10",379.483035728066,0.160290762162586,0.581864589998181,0.275477774241405,0.782949199076254,0.99794439216585
"ENSG00000005249.13",582.878153437034,1.68438037357811,0.591000787469007,2.85004759603039,0.00437126872137306,0.237204782035283
"ENSG00000005302.19",848.913864302483,0.360893702509841,0.263274187715444,1.37079029904712,0.170440335903901,0.88215736932903
