"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"__alignment_not_unique",1125726.41337072,-0.128241478987487,0.228313277034571,-0.561690851505184,0.574326668528734,0.809288753319084
"__ambiguous",911819.097655974,0.121341033532597,0.038463887909448,3.15467416653925,0.00160677442377174,0.018447921022481
"__no_feature",2849131.76387021,-0.00525299756015683,0.0812213837800566,-0.0646750561943352,0.948432723504853,0.983655739225291
"__not_aligned",638906.549611833,0.170516202085558,0.0728256672732729,2.34142999947682,0.0192100279332354,0.118010649618719
"__too_low_aQual",1694300.00512302,-0.0783459608745174,0.163940798183673,-0.477891786196757,0.632727227835299,0.841226393176922
"ENSG00000000003.15",466.08216946948,-0.270677970638047,0.133029259809203,-2.03472507496672,0.0418785436872553,0.194040973816717
"ENSG00000000419.13",491.374708568032,-0.051405586490063,0.109278731257203,-0.470407973250279,0.63806356876234,0.84390883571962
"ENSG00000000457.14",503.822520152225,1.21666956812258,0.103294741537487,11.7786205765473,5.03096471885034e-32,2.1893285978958e-29
"ENSG00000000460.17",60.9826069383528,-0.181675485322301,0.199903155683527,-0.908817495657333,0.363446469802948,0.652309819356624
"ENSG00000000971.16",13488.7030286238,2.05388454462408,0.305177670538517,6.73012721081392,1.69514818396592e-11,1.11025875708671e-09
"ENSG00000001036.14",1251.55593582404,0.06280556434359,0.129784749588236,0.483920988735974,0.628441944127562,0.839370063240274
"ENSG00000001084.13",864.443863071313,-0.0421154478689865,0.212917657607092,-0.197801574290773,0.843200314403242,0.943024574591108
"ENSG00000001167.14",488.324553503446,-0.205546188974443,0.133138479114985,-1.54385261376557,0.122624041915966,0.365862567870346
"ENSG00000001460.18",178.551495719919,0.350091583627021,0.175001362320661,2.00050776167979,0.0454454626416998,0.203574678496914
"ENSG00000001461.17",1906.88880643119,0.194214908875365,0.223400746648498,0.869356579102869,0.384652124970092,0.670607753761341
"ENSG00000001497.17",521.047665293419,-0.051221111897332,0.0854569548806322,-0.599379090547734,0.548920117175008,0.793087110748765
"ENSG00000001561.7",21.5862291544917,-0.57910180879955,0.902183969315104,-0.641888825889,0.520945369992485,0.776213255097867
"ENSG00000001617.12",1245.93549828973,1.0803710102168,0.36223193860837,2.98253934859357,0.00285867898806717,0.0291454574314825
"ENSG00000001629.10",2550.19040201336,0.476776658316049,0.15531048008229,3.06982927400284,0.0021418116560536,0.0234155659113409
"ENSG00000001630.17",430.923835598834,0.285571743187589,0.366277780697885,0.779658931654214,0.4355916581332,0.712772180040434
"ENSG00000001631.16",271.463716787529,0.0132065393293205,0.0884593133530941,0.149295069436106,0.881320805692969,0.957791919837692
"ENSG00000002016.18",199.773664248535,-0.173813154836915,0.10151670148732,-1.71216314449131,0.0868666073221964,0.300479644793065
"ENSG00000002079.14",33.5509140122096,1.2739459525617,0.905888842381239,1.40629389938502,0.159636870936963,0.421090047720068
"ENSG00000002330.14",805.639057145464,0.0696158386408791,0.202781785188654,0.343304200503578,0.73136962108712,0.892673196021097
"ENSG00000002549.12",18890.6566512705,4.55642011712937,0.289903120087442,15.7170440792602,1.15592136196994e-55,5.15598723506692e-52
"ENSG00000002586.20_PAR_Y",2730.97915615557,0.192683602424761,0.359548535755777,0.535904289026618,0.592024700075679,0.818829821608548
"ENSG00000002745.13",8.32960867067378,-0.653346669156575,0.976673889408329,-0.668950686858613,0.503526935394243,0.765371237119108
"ENSG00000002746.15",270.231187344385,0.387123782906017,0.462793478080044,0.836493600800185,0.402877275252111,0.685590739406572
"ENSG00000002822.15",11.670030698648,-0.163858817590565,0.331972164186981,-0.493592039537005,0.6215943238592,0.835720452123135
"ENSG00000002834.18",10779.7656362059,0.178510261978258,0.176240116851616,1.0128809783334,0.311117015122388,0.606029962376885
"ENSG00000002919.15",285.288626463968,0.288680540551552,0.196736015666716,1.46734973549833,0.14228094053099,0.397522164258366
"ENSG00000002933.9",83.7770536759072,-0.363775064957066,1.63477896081224,-0.22252247776441,NA,NA
"ENSG00000003056.8",1950.62510256055,0.17480190842944,0.108144441856408,1.61637441026825,0.106013387589699,0.336863911197758
"ENSG00000003096.14",116.202373839703,-1.27510394926771,0.668264294938604,-1.90808331213454,0.0563804492179542,0.231730010354006
"ENSG00000003137.8",37.8383099103097,-1.55548765246023,0.548383364325155,-2.8364967897493,0.00456114368982697,0.0417216215030564
"ENSG00000003249.14",72.933881985702,-0.438508559032343,0.375115587597038,-1.16899583363463,0.242405309996423,0.531928130191084
"ENSG00000003393.15",861.597169885073,-0.0622707249227285,0.068156990466912,-0.913636657019926,0.360907798049329,0.649697738453676
"ENSG00000003400.15",107.563666731933,0.289603698123935,0.462005893762515,0.626839834802628,0.530764228834346,0.780957889729704
"ENSG00000003402.20",8616.02426228207,0.710627030237879,0.148829978714304,4.77475731957208,1.79924091421077e-06,5.3592748566525e-05
"ENSG00000003436.16",3585.46951489521,0.0235571499444782,0.217869512569741,0.108125040840386,0.913896504879057,0.971876397702052
"ENSG00000003509.16",273.641686574161,-0.0914300544406225,0.118477660340648,-0.771707123332299,0.440287910787227,0.716491873792933
"ENSG00000003756.17",3045.77723819369,-0.0904187619859021,0.0850374899722369,-1.06328117181519,0.287654460994414,0.582226987301455
